 run t     E0   PHMS  THHMS  PSHMS THSHMS  BCM4A livetm tkeffe tkeffp cutcut  ratee  ratep eleccleane eleccleanp  BCM1 Livtim2  pscef  hscef elreal   
3427 3 10.601 -5.240 13.505  4.959 14.000 26.773 97.190  0.991  0.989 38.952   10676   19324   4201122    596817  26.62 37.792  0.973  0.933    6.5
3421 1 10.599 -5.240 13.505  4.959 11.995 47.459 79.670  0.990  0.987 49.288   36648  201403  20106330  11012736  47.06 35.334  0.854  0.933   50.6
3423 1 10.599 -5.240 13.505  4.959 11.995 48.206 78.730  0.990  0.988 53.593   39770  219993  20402246  11182041  47.91 52.605  0.791  0.933   75.3
3424 1 10.601 -5.240 13.505  4.959 14.000 69.805 86.000  0.986  0.983 53.739   39805   95050  29462478   5002842  69.31 53.137  0.862  0.933   28.2
3425 1 10.601 -5.240 13.505  4.959 14.000 48.098 86.180  0.985  0.982 52.261   38788   92063  20293802   3439824  47.60 36.164  0.904  0.933   19.2
3427 3 10.601 -5.240 13.505  4.959 14.000 26.773 97.190  0.991  0.989 38.952   10676   19324   4201122    596817  26.62 37.792  0.973  0.933    6.5
3428 3 10.601 -5.240 13.505  4.959 14.000 32.345 97.360  0.991  0.989 39.003   10684   19351   5049306    724862  32.00 24.985  0.983  0.933    4.3
3429 3 10.601 -5.240 13.505  4.959 14.000 17.049 97.370  0.991  0.990 38.666   10598   19172   2671893    378906  16.93 37.761  0.974  0.933    6.5
3430 2 10.601 -5.240 13.505  4.959 14.000 70.106 70.340  0.979  0.977 52.965   78768  187613  55555875  10126619  69.48 43.732  0.755  0.933   46.5
3431 2 10.601 -5.240 13.505  4.959 14.000 59.875 71.710  0.979  0.977 52.800   78561  186824  47582970   8601592  59.45 51.155  0.726  0.933   54.2
3432 2 10.601 -5.240 13.505  4.959 14.000 77.197 71.220  0.979  0.977 51.847   76984  182698  61342218  11071517  76.64 43.721  0.757  0.933   46.3
3435 2 10.601 -5.240 13.505  3.309 14.000 33.301 63.790  0.997  0.996 29.408   43506  549706  26626650   9090070  33.07 28.923  0.644  0.623  162.4
3436 2 10.601 -5.240 13.505  3.309 14.000 14.069 77.840  0.997  0.996 19.394   29040  364425  11284337   3353670  13.94 17.983  0.795  0.623  100.5
3437 2 10.601 -5.240 13.505  3.309 14.000 27.451 77.890  0.997  0.996 19.600   29053  367596  22127771   7658432  27.29 18.718  0.789  0.623  106.5
3438 3 10.601 -5.240 13.505  3.309 14.000 29.436 94.930  0.998  0.997 38.885   10637  112236   4592106    841804  29.13 25.225  0.967  0.623   20.7
3440 3 10.601 -5.240 13.505  3.309 14.000 43.048 94.960  0.997  0.997 39.220   10738  113268   6742547   1215737  42.73 38.552  0.950  0.623   31.7
3441 1 10.601 -5.240 13.505  3.309 14.000 35.684 76.560  0.997  0.996 39.061   28986  376911  15236679   4757657  35.43 38.092  0.771  0.623  109.5
3442 1 10.601 -5.240 13.505  3.309 14.000 55.249 76.740  0.997  0.996 39.057   28961  376718  23591065   7187000  54.91 36.395  0.783  0.623  104.2
3443 1 10.601 -5.240 13.505  3.309 14.000 49.509 77.110  0.997  0.996 39.286   29109  379122  21131661   6440871  49.23 38.033  0.778  0.623  108.9
3444 1 10.601 -5.240 13.505  3.309 11.995 34.412 76.340  0.997  0.996 29.492   21813  504733  14706171   8643153  34.18 28.921  0.768  0.623  154.3
3445 1 10.601 -5.240 13.505  3.309 11.995 31.182 76.430  0.997  0.996 28.868   21400  493930  13340995   7856826  30.92 25.719  0.790  0.623  137.5
3446 1 10.601 -5.240 13.505  3.309 11.995 34.608 76.370  0.997  0.996 29.325   21705  500524  14831046   8616059  34.37 28.365  0.771  0.623  151.3
3447 1 10.601 -5.240 13.505  3.309 11.995 23.940 77.360  0.997  0.996 29.382   21789  502161  10269812   6017621  23.78 28.567  0.780  0.623  152.7
3448 3 10.601 -5.240 13.505  3.309 11.995 51.546 92.710  0.997  0.997 38.635   10592  188768   8097622   2759013  51.24 37.109  0.930  0.623   54.1
3449 3 10.601 -5.240 13.505  3.309 11.995 33.092 92.340  0.997  0.997 39.508   10810  193127   5187080   1796152  32.89 39.508  0.923  0.623   57.6
3450 2 10.601 -5.240 13.505  3.309 11.995 12.197 77.410  0.997  0.996 15.165   22500  506359   9798984   5885478  12.04 11.158  0.834  0.623  118.2
3451 2 10.601 -5.240 13.505  3.309 11.995 18.455 77.630  0.997  0.996 15.033   22256  502314  14917630   8990100  18.36 15.033  0.776  0.623  159.1
3452 2 10.601 -5.240 13.505  3.309 11.995 18.929 77.810  0.997  0.996 14.960   22166  499986  15278907   9092518  18.80 14.472  0.785  0.623  153.1
3453 2 10.601 -5.240 13.505  3.309 11.995 19.771 77.400  0.997  0.996 14.923   22148  498458  16000810   9636939  19.66 14.923  0.774  0.623  158.3
3454 2 10.601 -5.240 13.505  3.309 11.995 15.531 77.720  0.997  0.996 14.886   22082  496981  12517001   7735933  15.38 12.032  0.820  0.623  128.0
3458 2 10.601 -5.240 13.505  2.485 11.995  9.756 83.900  0.997  0.998  7.947   11788  556697   7916972   6613580   9.69  7.209  0.854  0.467  137.6
3459 2 10.601 -5.240 13.505  2.485 11.995  8.380 84.140  0.996  0.998  7.929   11755  555281   6737952   5938606   8.26  5.957  0.881  0.467  114.3
3460 2 10.601 -5.240 13.505  2.485 11.995 10.603 83.420  0.997  0.998  7.946   11760  556693   8546589   7502314  10.49  6.633  0.862  0.467  127.4
3461 2 10.601 -5.240 13.505  2.485 11.995 10.600 84.060  0.997  0.998  7.935   11740  556085   8586072   6768085  10.54  7.453  0.850  0.467  141.8
3696 2 10.601 -5.240 13.505  2.485 11.995 20.333 87.160  0.997  0.998  7.366   10209  485065  16569080  13292222  21.61  7.221  0.874  0.467  140.6
3697 2 10.601 -5.240 13.505  2.485 11.995  6.331 87.160  0.997  0.998  7.300   10128  480865   4944812   4098630   6.45  3.783  0.933  0.467   73.8
3698 2 10.601 -5.240 13.505  2.485 11.995 16.306 87.050  0.997  0.998  7.321   10141  481810  13278167  10455738  17.32  7.052  0.875  0.467  137.6
3699 2 10.601 -5.240 13.505  2.485 11.995 18.359 87.460  0.997  0.998  7.356   10192  484197  14888116  11341906  19.43  6.655  0.887  0.467  129.8
3462 3 10.601 -5.240 13.505  2.485 11.995 70.696 88.310  0.996  0.998 38.901   10670  402340  11117004   5943899  70.26 37.931  0.886  0.467  100.5
3700 3 10.601 -5.240 13.505  2.485 11.995 55.958 88.500  0.996  0.998 41.368   10612  399873   8774758   4751717  59.09 37.566  0.896  0.467  102.5
3463 1 10.601 -5.240 13.505  2.485 11.995 18.846 85.220  0.997  0.998 14.636   10840  520508   8149535   5828731  18.75 13.973  0.859  0.467  133.6
3465 1 10.601 -5.240 13.505  2.485 11.995 16.714 84.750  0.997  0.998 14.708   10883  523670   7156349   5043310  16.49 10.560  0.890  0.467  101.3
3466 1 10.601 -5.240 13.505  2.485 11.995 18.017 84.890  0.997  0.998 14.782   10952  525858   7789550   5418929  17.91 14.580  0.851  0.467  139.6
3467 1 10.601 -5.240 13.505  2.485 11.995 18.397 85.450  0.997  0.998 14.749   10929  524510   7935568   5523991  18.24 12.242  0.879  0.467  117.1
